Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,59.7773265083934,,,,,,,,,,1807.34978407022,935.460426850415,,70.3490786064852,1273.69165910289,93.0225089907107,68.424748569325,88.6912106301172,,,1550.32431495716,,,304.917107253962,1902.4021189224,101.227704401871,210.027470429478,,,,57.9776818816842,74.5959442514248,2294.56881421577,,1787.36034770201,,532.616266826495,89.5205415103584,153.471594052014,119.534187181074,220.314062094535,127.004745925624,244.603112478577,,,380.719130704896,446.70338463332,,,,,,,,,1364.51716017255,204.126025108362,244.824806483632,89.774580862118,155.454885282453,147.368458687627,,648.875807006863,455.272811083107,,924.960015487538,,396.392253337614,,,876.753840383997,,1179.35301099994,285.542500528956,1338.29960630568,,,283.400464698401,1380.30624126257,,182.979182688271,,,,,,533.686381232649,,,247.841986231897,,297.673299079368,1388.41220705912,429.442874392053,164.644318728641,107.059344384653,,70.6611393892491,,153.688085954083,144.193051168996,99.063924948646,98.7344099134415,,102.523548756141,,81.2847637496744,,685.61471237976,191.680877489895,231.025617243714,1414.98226940621,1229.1747476372,804.492623346178,429.325853115132,,478.995340162869,,97.6215305792253,,111.342479726807,,241.558035198162,158.236636232018,,284.208834600635,,,,,,369.745071868399,,,,142.779549586437,,130.131163302698,40.6055353025475,155.847780041824,,2242.0158166161,,,,164.800779039246,,,131.99303602155,,,341.592752701098,,133.051077910047,,,,,,,,,,107.915026767818,,45.0331526090051,234.916892903272,2942.62886994412,,,132.652162430184,92.9618001456259,126.136695105292,1068.78458723735,1441.75566002633,50.5151404450504,,2312.94999239859,1353.15733497407,,,82.5472458033972,474.125821659233,255.618369805832,254.427071304839,,114.636032033597,,58.7102713473376,717.514843087362,,360.499298506858,,,,1383.60873205328,,,,,40.5668807961198,81.5609788091581,,124.512169921714,312.993743681806,427.880407170241,,140.180257613715,,,,,129.927455597794,,129.952985808957,,,343.660980942593,,,1983.10654403097,100.454668666139,,288.058159419365,187.537374273096,,104.472101193618,90.7502157499948,,76.6384541690086,100.767596362992,,,364.627854204841,,,,81.5609788091581,129.952985808957,631.329859370633,,509.424111754814,,,62.315122319985,,162.277928909689,489.35014667433,3007.12344537862,,161.417161159312,954.859089546043,,744.615384615385,,,450.480281274535,,,,433.941193590145,234.166194283717,280.994585801398
1961,,59.8781528089471,,,,,,,,,,1874.30476770293,1031.8150043291,,71.4872777291414,1350.19767333123,95.5721547147448,71.558180092437,97.1427301809153,,,1651.47547707967,,,316.403606143266,1961.5381692465,108.022519503437,204.929301534773,,,,61.2422482773277,80.520801991904,2231.2938237478,,1971.31632279228,,584.237786011743,75.8058379259965,167.35553095223,124.421691835069,197.390942609319,142.53751644387,267.363298890288,,,354.81521800099,475.239654689895,,,,,,,,,1503.53701342816,192.026654148682,213.485905063471,78.8434971868093,152.553771545596,147.288865836393,,682.80939715916,375.006049296816,,1008.90239634951,,450.053289246968,,,946.442021305461,,1327.427224366,287.329143899976,1440.55433032888,,,332.504720423383,1452.54470901356,,189.713371496055,,,,,,597.287321012322,,,248.308208470062,,315.385459502551,1447.52643843212,436.754411520393,169.909755119116,107.335040183758,,68.7397866390219,,145.104236459348,137.765941465344,102.092122525072,103.050329717072,,104.920163005141,,84.4264369282297,,739.276406442666,196.924678836149,245.03198833228,1418.12586971526,1436.38443935927,887.336744604475,453.129464893641,,563.586759838827,,94.8352648950132,,109.459474271003,,243.846410767536,93.8162086410158,,288.731424417368,,,,,,380.884754182226,,,,142.838043488907,,123.671384168982,41.201213687709,143.603462626486,,2222.36636636277,,,,158.924091336756,,,133.847581549068,,,359.444451185438,,126.203548303998,,,,,,,,,,121.969678278039,,47.1825468300685,225.916444133692,2990.76628065986,,,139.341402532022,96.9804300443769,131.405552572428,1159.39235716074,1560.3249311723,52.0418806217462,,2343.29221317425,1400.40641456111,,,88.1724193462579,513.289061596268,280.153337512846,267.147774114598,,119.316939001118,,59.3593240070577,777.215027407341,,382.729946994368,,,,1441.86476604937,,,,,40.7196618532917,85.2034099102298,,131.656344413491,321.359971810953,448.959183778733,,140.749664072835,,,,,131.913670820527,,131.935170117075,,,361.181536480341,,,2147.22931080409,120.366032726009,,270.279660633921,200.183356899708,,109.129606410544,79.7226603214345,,79.1201330726748,107.497932415054,,,374.939363326778,,,,85.2034099102298,131.935170117075,675.974402163949,,285.012708941702,,,63.0151613499201,,147.322109373642,601.701130941651,3066.56286916615,,170.435140784319,967.784892617831,,749.271137026239,,,462.29664794086,,,,444.896268303603,221.728400633104,283.315869044703
1962,,58.4928738323479,,,,,,1148.57995706663,,,,1851.42481621132,1087.8342434189,,73.7817649496193,1438.5232330684,94.4645349843821,76.5206113987061,99.5767136542539,,,1752.97029278086,,,327.126867468401,2020.38596503345,115.855640541941,260.225266127099,,,,64.7070068014752,79.9677957743641,2255.23004413036,,2131.39165159983,,671.399704588187,70.9094116671007,167.995942976352,129.515519153265,235.632408032424,152.451212554253,283.171173777027,,,334.486836277433,492.978093740624,,,,,,,,,1681.0299129876,234.034347756695,171.209809463866,71.2986055136592,153.867328226218,148.639651430259,,737.792815118335,315.446274739402,,1109.26346696139,,520.206131380005,,,1024.82589849915,,1411.70239818044,291.539706762499,1585.91726742846,,,358.560975155092,1513.65144854926,,195.119979449394,,,,,34.7414275226911,630.61394129381,,,256.168506729799,,321.545767139554,1543.12965251301,487.821134050813,179.875972559578,114.129332753421,,70.0783797913436,,148.514843061699,141.56197809697,107.422233097514,107.510460481336,,110.924320525101,,88.9149185960477,,797.006288353959,203.436311484589,254.701334086896,1562.23073045837,1094.63584823375,990.26015216342,463.959699180364,,633.640315173776,,100.604266651239,,109.479045391078,,246.077034761384,106.133999009007,,320.937182588511,,,,,,423.879011407137,,,,138.536546921368,,126.653104913141,47.4502225384491,148.692531009247,,2311.79884893619,,,,181.183703096042,,,138.119849134424,,,373.927529105584,,128.872539426713,,,,,,,,,,122.25227029384,,48.3866532591083,230.247932193207,3153.88605003842,,,148.192133482819,104.38853344843,140.621717529912,1240.67789437294,1667.2474297782,55.2850368881796,,2448.62863326468,1491.92879677272,,,89.8377121474164,542.361563341825,308.597873530068,156.682154281877,,124.688813828654,,63.3707524951196,854.74480496849,,407.852843612372,,,,1538.64740743304,,,,,40.9754946889206,89.0117975166398,,139.214550602488,320.495861063642,471.880512940725,,145.035841875451,,,,,139.589753045049,,139.612810166735,,,379.168734167298,,,2315.84652740222,125.608696787983,,287.044788426874,227.788663942808,,114.582173703109,72.0977424866768,,81.9947491285797,113.782501575937,,,417.369942313383,,,,89.0117975166398,139.612810166735,703.753421603779,,309.446903352699,,,62.0168215040622,,152.192318495172,656.712218014013,3243.84307754988,,174.565283264933,1017.78955846641,,1054.28571428571,,,487.882090351607,,,,461.798232165316,213.894228774866,279.440988803624
1963,,78.7827580362892,,,,,,845.077184202247,,,,1963.63907865756,1167.00053244585,,78.9002836003344,1535.02372901043,99.8591138855553,78.372071942432,101.260491234629,,,1867.11298751475,,,336.94146611457,2020.26524752445,122.350539642256,291.950589001802,,,,67.3758705909335,81.5879156525645,2354.83912197975,,2294.18284731738,,687.268374393674,74.3136434486145,190.407375498013,131.083486516416,377.427539940594,153.54199598968,268.176075518501,,,344.829025611126,514.860508520252,,,,,,,,,1775.37038468789,258.558967830732,225.530596175825,75.278063429906,159.231827318637,161.921540138375,,804.125868688736,368.276710123797,,1232.78259602997,,609.487384056513,,,1118.98693484016,,1522.3192420995,296.772935442722,1752.96440283546,,,299.22664570875,1592.61447661562,,210.968968670441,,,,,40.6608268942938,701.62041775285,,,274.789958024245,,282.306338501804,1629.13775318988,565.727810358046,185.049264517142,134.68618118459,,71.8574077729285,,154.984355604316,148.763915137243,117.929281324557,110.945579841402,,125.812190904908,,100.048591708733,,852.135301717888,208.130832173581,250.787078237018,1831.70565581972,1257.81140535239,1126.01933699825,485.319298336954,,717.866915230894,,104.012736326698,,117.820382551689,,253.99755348402,146.294590315099,,346.456853403574,,,,,,416.184855482207,,,,117.071944087632,,137.800475833535,52.3443123037362,157.485341433278,,2441.03855530008,,,,196.534112346045,,,138.407165710075,,,404.388376886152,,139.249621886534,,,,,,,,,,121.576294437354,,49.2795373685219,279.708407864318,3281.35123535155,,,158.721177620822,107.542108487282,150.708864082886,1328.03664879968,1775.58265544979,47.0939471530651,,2622.2202714036,1586.54940571434,,,93.9886873870576,583.44452758788,328.508382139096,168.016967371737,,128.999042906832,,72.218005603524,931.751665981242,,432.511729575075,,,,1636.7746378013,,,,,41.2507750633908,97.9611478086267,,137.810411361295,322.29230953356,510.987189104569,,145.323931620799,,,,,156.218225377791,,156.241368446895,,,400.441296164411,,,2492.54534595494,144.768151208625,,308.19526439697,238.437306089769,,116.777460972354,76.1126586608648,,87.7919751328937,118.143244658458,,,408.597890591436,,,,97.9611478086267,156.241368446895,759.868842676093,,350.663222672222,,,68.9352511712817,,163.881034600874,584.290746594089,3374.51517105082,,162.869284852427,1068.23225851863,,1040.20100502513,,,514.576605133697,,,,498.601747197672,214.852954270827,280.566212958133
1964,,82.2084438594401,,,,,,1166.31739957616,,,,2127.56690159395,1269.41258289256,,86.6031946364808,1701.84627554319,104.339768039886,80.4727667455189,99.5038642680161,,,1994.54491964477,,,351.161126269562,2199.72700691179,135.181861269436,261.331083055664,,,,71.6495191117864,87.8587465027727,2529.5181790541,,2501.29318996377,,709.579264372884,85.4985551596313,221.517801724046,138.565487268805,170.466067121063,161.134841398183,321.460285471644,,,353.001882996353,545.907842813389,,,,,,,,,2013.24307693268,272.914291705384,236.610189565084,85.1824984268426,178.44645671928,181.776600476683,,880.387107286954,440.074703459645,,1358.65663196549,,675.241639141208,,,1229.32701742209,,1707.50393824701,310.872996932687,1919.26671770559,,,411.768584816698,1729.39997803568,,230.431189173094,,,,,46.8305160523438,784.954348432918,,,274.619789706883,,305.361611188496,1764.63738562685,629.591525784494,200.434640544375,117.013704617694,,77.695049013051,,171.868564738122,161.704731322849,112.66916839225,118.295013566073,,113.190322610576,,114.315160959012,,965.135422676745,221.319188546456,288.163481655289,2297.9206432038,1375.89225589226,1222.5445404629,518.889723102049,,835.657252484116,,108.558944553156,,123.643191374326,,268.707287443277,123.588455464345,,348.914345519563,,,,,,451.351712979399,,,,120.714325729079,,146.935682146313,56.712943367571,169.930547713981,,2755.63311653279,,,,201.26936560216,,,142.659339874214,,,464.12430099367,,150.912413763922,,,,,,,,,,157.611041182329,,49.1333880028002,289.00498041014,3478.08586108047,,,153.266246172963,113.170338044682,170.805910566326,1541.94736519029,1937.88461385928,46.2425117015135,,2813.54697563939,1711.1309714421,,,103.536036230726,608.126690465072,386.216476995646,175.931197938654,,139.645271863704,,65.5371810324285,1006.43444609497,,468.781081635443,,,,1765.90807313946,,,,,41.1168065270719,109.756897393044,,137.719538234422,332.074569957488,485.303259779105,,152.696905371359,,,,,148.711660888574,,148.741801467148,,,416.102935940582,,,2758.94346624034,169.894240878063,,332.305003111975,257.578412322649,,120.82147343128,86.1196177816806,,99.9378893887589,125.937894852064,,,443.086919993812,,,,109.756897393044,148.741801467148,788.124732285594,,369.583786349006,,,76.0446097264213,,175.714323044612,741.243051285608,3573.94118474743,,173.485174955002,854.696369600363,,1318.62745098039,,,552.501111954716,,,,534.374176248077,243.10532045675,285.053173837193
1965,,101.290471274167,,,,,,1272.01049600796,,,,2277.0666755098,1374.53213986075,,51.6573646771225,1835.59476553194,110.132793835113,81.7251154955019,105.789170344458,,,2144.83097135923,,,377.594305166182,2282.21654616239,148.474079771508,260.964692542291,,1113.40244720819,,76.6772212316224,91.3220540229146,2739.58584928189,,2620.475547353,,699.377961923747,98.4867777522206,212.821803836904,140.907450050738,232.811114397363,167.453672719815,300.913852955114,,,373.033045149851,578.746017109297,,,,,,,,,2243.93159483536,228.953829749716,248.37814358709,96.9789268325095,188.934779746708,197.747484281287,,947.569282631052,454.665552428761,160.275725817359,1469.35962473187,,774.761609330096,,,1327.74123807147,,1882.08685764849,317.072947341209,2042.24038372783,,,425.295037261419,1850.95476855498,,266.31863339209,,,,,233.414805308416,888.921997905322,,,273.40401370429,,327.114222691783,1894.08786133863,676.805507110096,216.81493258767,133.447721424636,,82.7068133912009,,183.859127778078,173.667058393363,124.40772350398,125.531945822127,,127.886457046919,,118.06338245921,,1023.77372640936,248.338664425742,,2723.52094989073,1429.31460528027,1304.45381661965,553.52694705065,511.561963103988,919.776688184802,,104.992162299027,,134.304155041423,,276.220838014664,108.703823210388,4429.17110657561,358.229442744407,,,,,,468.466656933277,,,,152.852634180917,124.93247462319,158.124103298041,58.7785664104531,185.362601084035,,2780.09271886584,,,,206.465152226178,,,144.484654967511,,,489.433228477941,,161.796179723056,,,,,,,,,,174.096088731651,,56.5345892344079,310.327762928688,3727.14016510279,,1763.47506683766,172.047766834797,117.190285331831,274.670140721866,1708.09635648862,2164.46882336736,67.3708701350945,,2151.29492695315,1834.49883419205,101.258693092966,,115.73776217352,648.462224237159,445.12431625418,187.11300749025,,153.903298866448,,72.1110191744621,1110.83269082498,,520.910659367884,204.337223922559,,,1897.06715048409,1889.32329034642,,,,46.0262968560447,115.38417249752,,139.552128523133,328.56343685215,516.292928548597,,145.304139438359,274.470795027805,,,,161.614473725405,,161.640458757554,,,464.596902285461,,,3007.59797817136,179.490007376174,,328.484900958875,273.962221828686,,125.975859412531,98.041503108131,,109.620184806171,137.918039918254,,,459.037414819529,,,,115.38417249752,161.640458757554,807.272181388719,218.036018666071,385.640975749156,,,110.410491012345,,190.491343798191,701.704718154626,3827.52710972039,,175.738134600497,857.815978127129,,1528.73563218391,,,589.405167430003,,,,568.348265319892,303.882532322899,297.363437403916
1966,,137.899361896954,,,,,,1266.34498858151,,,,2339.86193776423,1486.96860600566,,52.4767229561783,1957.62608042762,112.940836383512,82.5456368946943,111.658639483114,,,2322.94385308063,,,406.097967073577,2630.85046632946,161.147464519658,315.27738237919,,1237.07923702427,,83.7346999598829,93.8448211707177,3010.70590757947,,2784.73354771646,,803.149102227347,104.324566181147,228.227429439799,144.252075755159,253.761638083816,181.218345108405,275.259436573136,,,394.173151024719,619.071306685973,,,,,,,,,2443.2597913502,245.890475149168,234.188908344417,103.261527109489,181.976235874052,215.419959331711,,1019.72335455778,449.399014890535,166.511122221763,1589.18578352547,,889.659872011529,,,1428.36578976101,,2010.21345619725,316.179586827145,2189.67088787159,,,453.131710983256,1959.62782962126,,269.459223019954,,,108.315825613282,,242.603591839027,981.652394470053,,,277.410244610528,,344.166523485249,2051.46463459483,685.926614135084,227.740767688681,141.802010781182,,84.6700986165411,,185.17437467791,175.980474114235,131.432222696926,132.832815123385,,134.991007237067,,89.0535834865115,,1074.50650554958,264.976773667169,,3215.69417804329,1513.88360593382,1402.44235441032,616.053610722171,519.889279618154,1058.50356090902,,118.556354467191,,138.848626403082,,299.207539180624,133.449807989201,4556.46306498814,393.074938533223,,,,,,500.475563258102,,,,153.898547937351,110.376609373719,160.236294905845,59.5447476939649,200.930055305564,,2900.43321843978,,,,196.342203677819,,,152.107820130995,,,528.568818638693,,163.617442766953,,,,,,,,,,176.47894162133,,62.6231425768346,321.097473074127,4040.8790099139,,1756.21965306604,174.364046787653,124.309273036642,285.460204024016,1835.80142351034,2317.19488382656,81.6220892877594,,2191.31254193959,1990.57386549008,105.557345021536,,123.902569045255,686.091191930294,511.970633757701,199.935567850299,,170.797123808784,,77.3129421745725,1207.81182440348,,575.007680668221,208.97726040331,,,2059.18046579104,2229.45307672024,,,,37.5181158094747,94.8876668477679,,139.153733701427,329.068076109473,566.537479639236,,149.435675854858,282.493585147874,,,,170.127472896534,,170.153132623477,,,557.993509862722,,,3240.61103693285,191.579560526601,,337.646246557856,241.712244801693,,128.34315068927,104.389235428882,,121.833557350245,161.005683636648,,,490.081748370545,,,,94.8876668477679,170.153132623477,786.752120100022,224.426620015497,445.250491463183,,,111.635754797097,,206.59101024028,664.438376954482,4146.31664631665,,185.36060230553,863.018428575266,,1820.34632034632,,,626.259847215568,,,,603.069811446582,343.912055197846,281.490800457589
1967,,161.322000088481,,,,,,1057.7556614712,,,,2575.62007733011,1569.66718289967,,55.1316867125382,2086.63600544654,111.951601925238,84.3631649403545,121.662093381097,,,2556.83530087592,,,420.431888198165,2982.74970426108,178.377574607329,346.880100387651,,1235.89209715094,,92.6258754025788,95.3219206925318,3173.07619352225,,2960.72258588384,,779.47568621022,96.5895319417819,232.568899340755,154.175627217415,184.134506854579,189.659550497531,286.793562014452,,,412.7293866608,655.851510695811,,,,,,,,,2644.7866468916,250.853977434293,252.418252162025,97.4777468390965,186.614296387784,227.765254038475,,1087.16548876716,458.780082888583,172.296080431704,1714.27482925562,,968.306781765983,,,1523.80139468382,,2034.18904965478,333.309188038613,2346.36295154832,,,490.307698089939,2023.62756371118,,216.841412637453,,,112.157071895468,,246.447133767446,1052.12099276566,,,281.652804930581,,370.154172302459,2169.02387104756,723.239225616661,240.547229865984,135.22387827343,,83.0326642717516,,186.177856682491,176.409039153515,129.332563425087,130.259616619138,53.5161516974541,133.0962792204,,95.3307829386839,,1152.00495214994,287.079167396346,,3125.64949185014,1468.12386156648,1533.69287748547,636.708074336816,458.636561144772,1228.9092104006,,121.380811267573,,144.02556500813,,353.362985478818,161.115764840224,4217.38083851017,416.543408480805,,,,,,500.605681833859,,,,159.50585456911,115.045095337894,163.341862595177,60.998541226155,198.430015574254,,2909.66062936858,,,,202.900886066332,,,157.476387051335,,,559.985352672281,,167.420628377603,,48.2798654834855,,,,,,,,181.720347700833,,63.3070510806105,317.428918354582,4227.76186373872,,1865.66599868404,160.599309450065,99.4068327311812,300.094451077403,1991.36068565042,2514.04377214705,74.4001918437784,,2188.39913862561,2112.23299119052,162.323339038911,,138.154386212673,742.127379916329,505.14674617676,207.427343769087,,188.363003163066,,71.0471718679766,1335.27411162524,,646.82272006084,215.181025695783,,,2188.87702536404,2209.203022415,,,,46.6779464865312,102.144802308085,,146.378954216131,319.673043345109,625.719676739075,173.397665186781,136.593437161037,288.500668351016,,,,163.881897635498,,163.90824840221,,,629.221299440344,,,3490.55033678895,181.738522797758,,333.233812466557,275.267309289062,,130.961011536027,98.5439999978372,,124.87939556403,166.924545927425,,,488.622223736195,,,,102.144802308085,163.90824840221,822.955035563278,229.168376006445,482.378393972044,,,112.770492537363,,209.526908869022,580.969836296412,4336.42658722171,,180.486663774429,878.604915970226,,2350.30549898167,,,653.005695840955,,,,654.626304388781,360.770244471948,297.231875211301
1968,,129.506653844251,,,,221.318655298764,,1136.51783223167,,,,2719.42979712242,1677.67352804272,,55.243404187824,2222.36151051913,116.89506602186,84.7330493468762,121.528897681745,,,2804.70513080569,,,386.95323701087,2830.18867924528,198.404199825085,374.083261758212,,1363.45304412287,,101.476551980837,109.247781037155,3411.06015434457,,3121.8890308772,,779.978865247552,91.4727183066072,265.04081491166,169.624568468257,206.722284899187,195.141231652375,285.108636580728,,,442.987707916062,643.469353402391,,,,,,,,,2712.61240033933,253.904388797713,280.268288209403,95.8264876276553,197.216773639832,244.950831187869,,1124.04508539439,450.571130321367,177.733078400902,1825.76536070366,,950.545740593734,,,1573.26660603069,,1907.07727217667,334.647453025916,2532.3147484766,,,520.379245050233,1896.38674860735,,202.761964608892,,,96.7325293660246,,224.037211224994,1134.35615147538,,,303.203451304358,,334.841272848636,2329.00898402897,714.48296958061,252.584519942969,139.498733756614,,81.1534649513016,,192.281337924859,182.015011586966,132.722064345425,134.915568914815,65.0281528331395,135.889504649122,,98.8312346895065,,1124.51663608246,318.987576009664,312.822277421474,2354.48002671305,1647.87727434891,1651.93937679756,593.702762457851,374.547134456976,1450.61965234374,,128.857730659121,,157.214603483787,,314.641610275419,198.365658261865,4194.56947244816,436.973719076197,,,,,,525.72434546051,,,,150.896568653069,120.546317525703,168.262987195503,61.972091632277,198.03225351906,,3175.36736882691,,,,212.810684951698,,,165.478455065697,,246.58905089972,600.482443466143,,172.575964580255,,59.4675275565151,,,,,,,,194.443050287853,,56.094587027621,323.408202373802,4575.14811014624,,2165.90114607294,150.387560857642,97.2021478063696,308.359416385177,2185.24865888658,2662.11749153117,66.9508382507482,,1885.15615175625,2266.76920331055,277.907187360649,,146.979219586474,775.649580352656,454.187537217916,224.623298495623,,201.847991978863,,73.0049318944957,1480.69317642251,,719.08049185329,220.192510722822,,,2352.79811242989,2510.88228863677,,,,48.8197273636811,104.817099678924,777.31574821932,148.375296849011,326.241960073318,708.265109460836,187.327010614089,127.036954912807,290.349341613035,,,,170.86995679533,,170.890567758226,,,670.914261410546,,,3683.31369387653,189.033031771259,,314.351064841473,295.449415865686,,129.732618111726,96.8778560430796,,124.349572232268,174.78713003871,,,512.106373355775,,,,104.817099678924,170.890567758226,814.735396170346,250.851874102373,526.213996739037,,,116.964328096097,,214.140905193824,574.344191694413,4695.92339043178,,173.225147551714,922.114414171707,,3120.28725314183,,,690.365307031528,,,,688.830621769072,410.486260614773,304.9821588723
1969,,129.798541408375,,,,236.374135497768,,1324.08293470701,,,,2986.21888933316,1825.38612552124,,56.0788814178728,2458.08182003773,116.025094341185,86.5202111123235,133.575436747748,,,3215.48667199577,,,396.654306282497,3053.7037037037,210.628905183678,403.065252307126,,1303.73941344179,,114.834205330472,104.919703676785,3703.99040525529,,3344.78360254639,,893.247596938554,100.12990326618,270.757360627177,181.067801264494,258.618623641901,200.008026323987,300.13455498347,,,474.684414305193,692.359309456979,,,,,,,,,3068.23674114413,281.189400313616,300.981825658516,104.709326268815,214.88374313928,274.800145435272,,1223.71382139967,527.499764536255,190.679731831677,2003.62399466415,,1077.67869994591,,,1716.92606725571,,2178.03525044982,357.459448696122,2725.21764331867,,,550.28593454682,2032.34700964503,,233.651332886606,,,103.646007323492,,219.524722305285,1284.21231559082,,,313.858957770105,,358.320936550029,2531.34145703947,825.523449142012,253.268528695739,151.469661719067,,84.7690973664534,,209.896311452358,198.833269712692,145.837289122927,149.978521811484,74.5743875367994,148.343829707147,,106.496379410417,,1291.34992028637,350.909574467313,313.817445557465,2039.19629517262,1852.39253852393,1813.38812575706,644.143307829431,432.720750475045,1669.09819990781,,134.19373632903,,142.294962948275,,348.091535995081,243.334402146913,4007.2581875182,466.581356381529,,,,,,574.054581060478,,,,160.91292408522,131.035966845302,182.740461788449,65.1835009030367,216.166577309,,3658.90068296888,,,,232.198578735179,,,165.011573016693,,266.831169016993,644.144342196446,,187.273242181604,,57.9918001150996,,,,,,,,178.925964939436,,59.2739989160956,347.378659180734,4906.85250757158,,2529.89263977581,142.70461860356,121.246037729658,321.550625122329,2446.33545399539,2875.23584396858,67.0529928889093,,2077.89554302301,2458.2760292337,342.47501021924,,152.680502884875,827.174446775064,494.583863925692,241.70200300012,,223.666699374004,,80.783004713136,1661.86688523369,,795.759371391099,230.581733636987,,,2554.77922273356,2273.54105825822,,,,51.8322538840534,112.492827431944,801.08493715019,158.617735080273,301.302155826703,812.266963251985,184.706449704865,154.65410059913,293.726857534077,,,,190.758740904924,,190.77412526839,,,707.786331123517,,,3972.00274870609,243.129172491322,,314.179852817028,365.693764242684,,132.170943007248,105.860566282073,,131.569868489524,186.880654141176,,,558.597893420509,,,,112.492827431944,190.77412526839,830.838259504739,260.578766334043,571.618273747463,,,127.585826244745,,232.121951782587,717.138638817024,5032.14474262003,,186.000268108495,915.412696348661,,3504.14593698176,,,744.455791798044,,,,755.181916401864,486.692686568743,348.93580495034
